Year,Period,Start,End,Days,Bus cash (000s),Bus Oyster PAYG (000s),Bus Contactless (000s),Bus One Day Bus Pass (000s),Bus Day Travelcard (000s),Bus Bus Pass Season (000s),Bus Season Travelcard (000s),Bus Other incl free (000s),Bus Total (000s),Tube Cash (000s),Tube Oyster PAYG (000s),Tube Contactless (000s),Tube Day Travelcard (000s),Tube Season Travelcard (000s),Tube Other incl free (000s),Tube Total (000s),TfL Rail (000s),Overground (000s),DLR (000s),Tram (000s),Air Line (000s)
2013/14,P 06,18 Aug '13,14 Sep '13,28d,76,1410,23,0,69,1227,1332,2066,6203,97,1259,0,395,1293,204,3249,706,370,257,72.7,6
2013/14,P 07,15 Sep '13,12 Oct '13,28d,79,1498,26,0,68,1381,1492,2400,6947,105,1413,0,395,1477,233,3623,780,401,283,92.5,3.7
2013/14,P 08,13 Oct '13,09 Nov '13,28d,76,1470,29,0,75,1339,1544,2121,6655,105,1409,0,435,1522,234,3704,728,342,295,87.3,3.5
2013/14,P 09,10 Nov '13,07 Dec '13,28d,69,1441,32,0,72,1371,1574,2341,6901,103,1440,0,420,1586,250,3798,768,380,294,91.7,2.7
2013/14,P 10,08 Dec '13,04 Jan '14,28d,73,1333,31,0,68,1073,1171,1789,5540,88,1235,0,394,1088,192,2997,596,291,230,72.6,2.4
2013/14,P 11,05 Jan '14,01 Feb '14,28d,61,1398,38,0,53,1306,1504,2303,6666,92,1325,0,306,1506,229,3458,736,368,278,87.4,2.4
2013/14,P 12,02 Feb '14,01 Mar '14,28d,66,1420,42,0,59,1309,1544,2188,6630,94,1302,0,339,1415,217,3368,772,386,296,86.9,3
2013/14,P 13,02 Mar '14,31 Mar '14,30d,64,1396,42,0,60,1354,1551,2426,6895,95,1383,0,348,1500,241,3568,761,375,290,92.2,3
2014/15,P 01,01 Apr '14,26 Apr '14,26d,66,1396,50,0,73,1230,1404,2093,6312,77,1345,0,366,1380,246,3415,757,374,291,86.2,5.6
2014/15,P 02,27 Apr '14,24 May '14,28d,68,1456,54,0,62,1333,1493,2418,6884,72,1327,0,303,1343,246,3293,762,376,297,84.2,3.9
2014/15,P 03,25 May '14,21 Jun '14,28d,57,1456,55,0,69,1304,1470,2306,6717,77,1408,0,355,1406,260,3508,757,375,296,81.7,4.8
2014/15,P 04,22 Jun '14,19 Jul '14,28d,22,1494,59,0,71,1330,1495,2354,6825,83,1465,0,359,1476,281,3665,772,385,295,88.3,4.4
2014/15,P 05,20 Jul '14,16 Aug '14,28d,0,1470,62,0,73,1201,1420,1818,6044,74,1375,0,361,1415,248,3474,750,380,291,70.2,6.4
2014/15,P 06,17 Aug '14,13 Sep '14,28d,0,1473,68,0,66,1201,1386,2110,6304,70,1360,0,334,1317,245,3328,762,386,291,80.6,6.1
2014/15,P 07,14 Sep '14,11 Oct '14,28d,0,1541,98,0,64,1340,1537,2519,7099,74,1492,51,327,1500,274,3718,796,387,310,94.2,4
2014/15,P 08,12 Oct '14,08 Nov '14,28d,0,1485,123,0,75,1303,1568,2236,6791,73,1479,95,385,1563,285,3879,812,394,327,86,4.5
2014/15,P 09,09 Nov '14,06 Dec '14,28d,0,1439,152,0,71,1324,1606,2395,6987,70,1483,142,374,1604,297,3970,825,401,328,92.8,3.2
2014/15,P 10,07 Dec '14,03 Jan '15,28d,0,1329,152,0,67,1035,1185,1832,5600,58,1255,138,333,1094,231,3108,635,310,247,74.5,3.3
2014/15,P 11,04 Jan '15,31 Jan '15,28d,0,1320,176,0,39,1178,1447,2205,6365,65,1349,180,219,1497,270,3579,801,406,306,87.1,2.7
2014/15,P 12,01 Feb '15,28 Feb '15,28d,0,1310,193,0,44,1165,1474,2111,6296,70,1411,214,258,1545,278,3776,810,396,322,87.4,4.1
2014/15,P 13,01 Mar '15,31 Mar '15,31d,0,1335,213,0,42,1221,1511,2372,6694,74,1391,236,242,1522,287,3752,814,407,323,81.8,2.3
2015/16,P 01,01 Apr '15,02 May '15,32d,0,1352,225,0,37,1147,1403,2175,6356,67,1363,258,248,1354,260,3550,807,416,320,65.2,5.1
2015/16,P 02,03 May '15,30 May '15,28d,0,1340,244,0,37,1157,1415,2237,6445,76,1383,289,260,1369,266,3644,817,422,318,71.8,5.2
2015/16,P 03,31 May '15,27 Jun '15,28d,0,1358,264,0,36,1213,1459,2436,6782,81,1413,311,253,1441,283,3780,927,524,323,75.4,4.3
2015/16,P 04,28 Jun '15,25 Jul '15,28d,0,1377,283,0,38,1160,1447,2193,6518,80,1349,311,266,1344,267,3617,937,531,323,77.6,5.2
2015/16,P 05,26 Jul '15,22 Aug '15,28d,0,1318,278,0,37,1050,1350,1742,5796,69,1245,310,263,1256,236,3379,882,492,318,65.9,6.9
2015/16,P 06,23 Aug '15,19 Sep '15,28d,0,1310,300,0,34,1090,1302,2198,6250,72,1321,357,248,1242,247,3487,885,498,311,72.3,4.4
2015/16,P 07,20 Sep '15,17 Oct '15,28d,0,1370,334,0,35,1180,1463,2417,6813,81,1467,428,264,1467,283,3988,984,559,343,78.6,4.2
2015/16,P 08,18 Oct '15,14 Nov '15,28d,0,1303,340,0,37,1132,1476,2171,6471,78,1425,454,281,1499,288,4025,953,555,316,77.4,5
2015/16,P 09,15 Nov '15,12 Dec '15,28d,0,1275,359,0,35,1147,1497,2339,6665,75,1416,496,263,1522,300,4072,981,563,336,80.5,1.9
2015/16,P 10,13 Dec '15,09 Jan '16,28d,0,1169,320,0,29,869,1061,1793,5254,58,1168,397,218,983,226,3049,727,404,254,66,3
2015/16,P 11,10 Jan '16,06 Feb '16,28d,0,1200,373,0,28,1077,1433,2289,6411,61,1292,502,225,1452,283,3816,959,550,331,76.2,2.6
2015/16,P 12,07 Feb '16,05 Mar '16,28d,0,1199,387,0,32,1052,1431,2173,6285,68,1321,530,255,1445,283,3902,941,518,340,79.7,3.9
2015/16,P 13,06 Mar '16,31 Mar '16,26d,0,1176,384,0,29,1012,1350,2168,6132,67,1257,506,235,1300,268,3633,883,485,322,73.1,3
2016/17,P 01,01 Apr '16,30 Apr '16,30d,0,1210,416,0,33,1038,1395,2205,6309,68,1292,562,284,1317,281,3805,952,522,346,79.8,4.7
2016/17,P 02,01 May '16,28 May '16,28d,0,1198,430,0,30,1052,1386,2386,6496,65,1289,571,257,1304,288,3775,946,515,341,85,4.6
2016/17,P 03,29 May '16,25 Jun '16,28d,0,1175,445,0,31,1009,1351,2179,6202,71,1271,590,263,1245,281,3722,907,492,329,82.5,4
2016/17,P 04,26 Jun '16,23 Jul '16,28d,0,1216,472,0,33,1027,1364,2221,6346,77,1331,624,291,1275,298,3895,931,505,335,87.1,4.7
2016/17,P 05,24 Jul '16,20 Aug '16,28d,0,1151,455,0,32,915,1272,1705,5547,70,1215,593,274,1201,258,3610,883,491,320,64.8,6.5
2016/17,P 06,21 Aug '16,17 Sep '16,28d,0,1159,484,0,30,928,1240,2085,5940,69,1203,619,269,1110,257,3527,904,507,313,80.2,4.9
2016/17,P 07,18 Sep '16,15 Oct '16,28d,0,1282,550,0,30,1002,1377,2423,6676,72,1319,699,274,1287,291,3942,981,544,344,90,3.6
2016/17,P 08,16 Oct '16,12 Nov '16,28d,0,1246,554,0,29,946,1379,2141,6307,74,1311,731,284,1327,295,4022,994,551,359,79.3,4.2
2016/17,P 09,13 Nov '16,10 Dec '16,28d,0,1246,588,0,34,945,1388,2312,6523,75,1342,800,285,1354,312,4167,998,561,359,75.8,2.9
2016/17,P 10,11 Dec '16,07 Jan '17,28d,0,1142,524,0,28,724,997,1779,5206,61,1131,638,239,868,242,3179,776,428,270,74.4,3.3
2016/17,P 11,08 Jan '17,04 Feb '17,28d,0,1200,616,0,25,864,1290,2224,6230,64,1152,751,224,1175,274,3639,961,530,342,86,2.8
2016/17,P 12,05 Feb '17,04 Mar '17,28d,0,1194,628,0,29,861,1293,2161,6177,68,1224,803,236,1248,288,3867,953,522,348,78.8,3.9
2016/17,P 13,05 Mar '17,31 Mar '17,27d,0,1225,657,0,28,903,1326,2456,6606,75,1234,822,210,1278,309,3927,1000,558,351,88.5,2.5
2017/18,P 01,01 Apr '17,29 Apr '17,29d,0,1209,637,0,42,805,1190,2055,5951,68,1196,779,284,1013,265,3605,916,508,335,73.6,5.4
2017/18,P 02,30 Apr '17,27 May '17,28d,0,1222,691,0,41,867,1276,2400,6509,71,1216,842,235,1132,293,3789,946,530,336,80.7,4.1
2017/18,P 03,28 May '17,24 Jun '17,28d,0,1200,702,0,40,838,1250,2236,6278,71,1158,829,219,1073,279,3629,921,514,327,79.5,4
2017/18,P 04,25 Jun '17,22 Jul '17,28d,0,1247,743,0,45,857,1269,2307,6481,78,1250,892,251,1113,309,3892,961,535,341,84.5,4.6
2017/18,P 05,23 Jul '17,19 Aug '17,28d,0,1169,699,0,44,747,1165,1703,5539,69,1142,847,246,1037,268,3609,916,516,327,73.6,6.4
2017/18,P 06,20 Aug '17,16 Sep '17,28d,0,1163,732,0,38,758,1133,2091,5928,72,1093,855,201,960,264,3445,907,520,309,78.9,4.3
2017/18,P 07,17 Sep '17,14 Oct '17,28d,0,1234,807,0,39,847,1257,2477,6675,76,1212,967,222,1105,297,3879,991,557,343,90.6,3.5
2017/18,P 08,15 Oct '17,11 Nov '17,28d,0,1198,813,0,42,816,1272,2208,6361,73,1189,1003,234,1147,304,3949,988,552,354,83,4
2017/18,P 09,12 Nov '17,09 Dec '17,28d,0,1178,845,0,44,828,1285,2373,6563,73,1217,1080,244,1175,321,4110,991,554,350,86.9,2.7
2017/18,P 10,10 Dec '17,06 Jan '18,28d,0,1074,747,0,38,630,927,1754,5181,59,1012,857,211,752,242,3132,747,413,265,69.2,2.3
2017/18,P 11,07 Jan '18,03 Feb '18,28d,0,1116,854,0,34,771,1189,2284,6258,64,1086,1036,207,1077,298,3767,940,529,331,80,2.4
2017/18,P 12,04 Feb '18,03 Mar '18,28d,0,1118,882,0,36,738,1186,2053,6023,66,1090,1053,216,1048,287,3759,913,505,331,77.4,3.3
2017/18,P 13,04 Mar '18,31 Mar '18,28d,0,1144,907,0,37,756,1156,2295,6304,71,1104,1057,218,1011,301,3761,927,539,310,77.9,2
2018/19,P 01,01 Apr '18,28 Apr '18,28d,0,1134,899,0,40,712,1099,2034,5928,69,1089,1062,235,955,286,3696,929,525,336,69,4.3
2018/19,P 02,29 Apr '18,26 May '18,28d,0,1162,943,0,38,761,1134,2371,6419,71,1111,1091,216,977,303,3770,947,515,348,83.8,4
2018/19,P 03,27 May '18,23 Jun '18,28d,0,1140,947,0,39,738,1103,2238,6215,73,1089,1103,223,940,300,3728,919,509,329,81.1,4
2018/19,P 04,24 Jun '18,21 Jul '18,28d,0,1170,986,0,42,759,1117,2267,6353,79,1146,1145,235,970,318,3894,958,530,344,84.2,4.2
2018/19,P 05,22 Jul '18,18 Aug '18,28d,0,1099,916,0,40,657,1026,1664,5415,71,1054,1059,227,903,270,3583,895,501,320,73.7,5.6
2018/19,P 06,19 Aug '18,15 Sep '18,28d,0,1087,949,0,36,666,993,2053,5795,67,1012,1080,207,844,264,3473,892,504,309,78.8,4.4
2018/19,P 07,16 Sep '18,13 Oct '18,28d,0,1162,1054,0,37,744,1110,2449,6566,75,1124,1241,215,962,305,3922,992,563,343,85.6,3.2
2018/19,P 08,14 Oct '18,10 Nov '18,28d,0,1131,1060,0,40,720,1118,2181,6261,74,1119,1294,235,991,311,4025,1003,558,362,82.9,4.4
2018/19,P 09,11 Nov '18,08 Dec '18,28d,0,1110,1089,0,41,733,1128,2342,6452,78,1145,1399,249,1017,334,4221,996,557,355,84.1,2.6
2018/19,P 10,09 Dec '18,05 Jan '19,28d,0,1001,949,0,38,568,816,1796,5177,61,976,1110,242,632,259,3279,750,414,270,66.3,3.2
2018/19,P 11,06 Jan '19,02 Feb '19,28d,0,1036,1075,0,30,678,1034,2263,6123,64,1004,1310,204,924,305,3809,929,517,333,79.3,2.3
